# TStart[MJD] TEnd[MJD] Flux[ph/cm^2/s] Flux_error[ph/cm^22/s] TS
55543.65527 55550.65527 3.47245e-07 3.89203e-08 313.33900
55550.65527 55557.65527 3.94146e-07 3.98747e-08 414.87100
55557.65527 55564.65527 3.54594e-07 4.69129e-08 186.92100
55564.65527 55571.65527 2.57530e-07 3.91993e-08 129.91300
55571.65527 55578.65527 1.36052e-07 3.16269e-08 50.46250
55578.65527 55585.65527 2.28367e-07 3.49540e-08 129.82500
55585.65527 55592.65527 9.26484e-08 2.53713e-08 34.67330
55592.65527 55599.65527 9.85873e-08 2.47671e-08 38.56450
55599.65527 55606.65527 5.85389e-08 2.11943e-08 20.89530
55606.65527 55613.65527 9.59791e-08 2.59215e-08 29.49380
55613.65527 55620.65527 8.79732e-08 2.86077e-08 31.88780
55620.65527 55627.65527 1.01264e-08 1.42453e-08 0.85956
55627.65527 55634.65527 1.58487e-08 2.29545e-08 0.57628
55634.65527 55641.65527 4.04527e-08 2.06365e-08 9.17235
55641.65527 55648.65527 1.05600e-07 2.67838e-08 44.12160
55648.65527 55655.65527 5.36445e-08 2.13047e-08 14.40190
55655.65527 55662.65527 5.67922e-08 2.08898e-08 18.09830
55662.65527 55669.65527 3.63094e-08 2.48786e-08 5.54690
55669.65527 55676.65527 7.17898e-08 2.39198e-08 27.37720
55676.65527 55683.65527 6.04674e-08 2.55170e-08 11.46870
55683.65527 55690.65527 5.21459e-08 2.27630e-08 10.44730
55690.65527 55697.65527 5.49807e-09 9.09874e-09 0.62554
55697.65527 55704.65527 9.97852e-08 2.36567e-08 53.22270
55704.65527 55711.65527 5.74083e-08 1.95391e-08 21.96200
55711.65527 55718.65527 3.07626e-08 1.68121e-08 13.07740
55718.65527 55725.65527 5.14694e-08 2.31888e-08 9.35620
55725.65527 55732.65527 4.80693e-08 2.18743e-08 16.07060
55732.65527 55739.65527 3.35221e-08 2.18625e-08 4.54573
55739.65527 55746.65527 2.45588e-12 5.12736e-13 -0.00006
55746.65527 55753.65527 1.41532e-08 1.32349e-08 1.93232
55753.65527 55760.65527 9.24227e-08 2.57480e-08 39.51300
55760.65527 55767.65527 1.75641e-07 3.08446e-08 99.48140
55767.65527 55774.65527 1.28340e-07 2.76803e-08 53.31830
55774.65527 55781.65527 8.64926e-08 2.83827e-08 28.00680
55781.65527 55788.65527 8.48597e-08 2.62918e-08 21.65860
55788.65527 55795.65527 1.33462e-07 3.04811e-08 49.05450
55795.65527 55802.65527 5.42581e-08 2.35863e-08 8.97058
55802.65527 55809.65527 2.72779e-08 2.09714e-08 3.86688
55809.65527 55816.65527 8.10590e-08 1.95630e-08 36.78300
55816.65527 55823.65527 1.53340e-08 1.50997e-08 1.56193
55823.65527 55830.65527 5.66629e-08 2.18738e-08 21.06560
55830.65527 55837.65527 1.91159e-07 3.55680e-08 91.09970
55837.65527 55844.65527 2.00053e-07 3.39135e-08 125.36800
55844.65527 55851.65527 3.47269e-07 4.04191e-08 264.39100
55851.65527 55858.65527 2.89765e-07 3.80778e-08 202.64300
55858.65527 55865.65527 1.51419e-07 2.68647e-08 116.85100
55865.65527 55872.65527 3.77892e-08 2.01661e-08 6.88995
55872.65527 55879.65527 1.76723e-07 3.02112e-08 119.60900
55879.65527 55886.65527 5.15034e-08 2.11839e-08 15.71030
55886.65527 55893.65527 5.24318e-08 2.06302e-08 17.07920
55893.65527 55900.65527 5.64541e-08 1.99319e-08 25.55920
55900.65527 55907.65527 2.95780e-08 1.49372e-08 8.39230
55907.65527 55914.65527 2.39450e-08 1.62868e-08 3.65156
55914.65527 55921.65527 1.50470e-08 1.31227e-08 2.39731
55921.65527 55928.65527 1.49208e-08 1.28571e-08 2.88786
55928.65527 55935.65527 2.21293e-08 1.77364e-08 2.31409
55935.65527 55942.65527 2.45588e-12 4.99391e-15 -0.00050
55942.65527 55949.65527 1.45336e-08 1.63902e-08 1.07843
55949.65527 55956.65527 8.84908e-09 1.38193e-08 0.61872
55956.65527 55963.65527 7.17721e-08 2.34267e-08 34.15080
55963.65527 55970.65527 2.45588e-12 1.45638e-13 -0.00008
55970.65527 55977.65527 3.41838e-08 2.00467e-08 8.80534
55977.65527 55984.65527 3.88987e-08 2.19723e-08 6.61111
55984.65527 55991.65527 8.96483e-08 2.49783e-08 36.17630
55991.65527 55998.65527 1.46321e-07 3.24395e-08 69.04200
55998.65527 56005.65527 3.37899e-08 1.73115e-08 8.81263
56005.65527 56012.65527 5.92238e-08 2.52886e-08 8.91268
56012.65527 56019.65527 5.89016e-08 2.25517e-08 13.98010
56019.65527 56026.65527 1.18828e-07 2.65630e-08 64.71280
56026.65527 56033.65527 1.20020e-07 2.61414e-08 52.56820
56033.65527 56040.65527 1.19676e-07 2.76351e-08 63.89390
56040.65527 56047.65527 7.26851e-08 2.55267e-08 21.32780
56047.65527 56054.65527 1.16477e-07 2.83052e-08 66.23150
56054.65527 56061.65527 5.79381e-08 2.41105e-08 15.66140
56061.65527 56068.65527 9.81895e-08 2.45670e-08 56.44820
56068.65527 56075.65527 1.99771e-07 3.08359e-08 161.12400
56075.65527 56082.65527 1.62080e-07 2.96974e-08 94.00580
56082.65527 56089.65527 8.68387e-08 2.21463e-08 44.10840
56089.65527 56096.65527 9.98111e-08 2.55848e-08 48.64740
56096.65527 56103.65527 2.92051e-07 4.12944e-08 153.80200
56103.65527 56110.65527 1.29493e-07 2.89706e-08 74.00960
56110.65527 56117.65527 5.21263e-08 2.31574e-08 21.99900
56117.65527 56124.65527 8.56453e-08 2.26195e-08 63.27070
56124.65527 56131.65527 2.18493e-07 3.21369e-08 184.17800
56131.65527 56138.65527 1.37158e-07 2.69011e-08 80.32000
56138.65527 56145.65527 1.11902e-07 2.42316e-08 90.88520
56145.65527 56152.65527 4.53417e-08 2.16013e-08 13.93190
56152.65527 56159.65527 1.90647e-08 1.62458e-08 2.59846
56159.65527 56166.65527 6.33200e-08 2.22464e-08 25.60980
56166.65527 56173.65527 2.21336e-08 1.56641e-08 4.57126
56173.65527 56180.65527 4.62772e-08 2.08775e-08 10.05510
56180.65527 56187.65527 3.04911e-08 1.79068e-08 5.10954
56187.65527 56194.65527 4.43495e-08 1.88681e-08 15.32160
56194.65527 56201.65527 3.34293e-08 2.42695e-08 4.55125
56201.65527 56208.65527 4.49970e-08 2.12522e-08 12.81340
56208.65527 56215.65527 2.88053e-08 1.70111e-08 5.37208
56215.65527 56222.65527 8.01521e-08 2.28048e-08 34.76290
56222.65527 56229.65527 4.56014e-08 2.04577e-08 7.71108
